2016,1311,-0.214248279,-2.129166667,28621,-6132,13030,2732
2017,1311,-0.176272066,-0.579186807,23112,-4074,10758,4847
2018,1311,-0.013157281,-0.092247301,21433,-282,10545,2694
2019,1311,-0.018731062,-0.131358661,21782,-408,12076,1545
2020,1311,-0.164337708,-0.708915884,18821,-3093,12486,1739
2010,4911,0.024061044,0.123499491,50455,1214,36773,710
2011,4911,0.037263275,0.183740912,52223,1946,37558,515
2012,4911,0.02315743,0.123905127,54367,1259,39130,603
2013,4911,0.026234623,0.14091212,56414,1480,40328,471
2014,4911,0.027400936,0.138427652,59633,1634,42809,549
2015,4911,0.033187372,0.184257426,61683.1,2047.1,43778.2,563.2
2016,4911,0.009625368,0.055826152,63467.7,610.9,46047.6,542.2
2017,4911,0.029547761,0.191326964,64729.1,1912.6,46403.6,574.3
2018,4911,0.027961071,0.172223018,68802.8,1923.8,49634.6,603.2
2019,4911,0.025313503,0.183756433,75892.3,1921.1,55870.5,635.3
2020,4911,0.027243391,0.237900087,80757.2,2200.1,59937.5,639.1
2010,6141,0.027590756,0.176929786,147042,4057,130812,22955
2011,6141,0.032184013,0.20761464,153337,4935,134543,25866
2012,6141,0.029267337,0.183515539,153140,4482,134254,22568
2013,6141,0.034940505,0.213923596,153375,5359,133879,19991
2014,6141,0.036988617,0.232562735,159103,5885,138430,22849
2015,6141,0.032031715,0.211338518,161184,5163,140511,23102
2016,6141,0.034035483,0.219355885,158893,5408,138392,25830
2017,6141,0.015102755,0.105372617,181159,2736,162932,33552
2018,6141,0.036696323,0.209593895,188602,6921,166312,29707
2019,6141,0.034081111,0.186455172,198321,6759,175250,30539
2020,6141,0.016382135,0.098855359,191367,3135,168383,52668
2010,6321,0.023198963,0.138387059,101039,2344,89983,4714
2011,6321,0.016771703,0.103783555,117102,1964,103596,5040
2012,6321,0.021862175,0.138180416,131094,2866,115116,9793
2013,6321,0.026033123,0.168211356,121307,3158,106687,7923
2014,6321,0.024639508,0.165109383,119767,2951,101420,5422
2015,6321,0.021412389,0.15400985,118296,2533,100588,5114
2016,6321,0.020482364,0.147402849,129819,2659,109337,7348
2017,6321,0.033552694,0.26606565,137217,4604,112619,4765
2018,6321,0.020796832,0.167527252,140406,2920,116944,5530
2019,6321,0.021627566,0.187791292,152768,3304,123809,6401
2020,6321,0.028942491,0.270877034,165086,4778,131527,7405
2010,6331,0.011392318,0.119675986,683443,7786,569770,117077
2011,6331,0.032023866,0.313003412,555773,17798,441444,61624
2012,6331,0.006266484,0.070668037,548633,3438,449630,69084
2013,6331,0.01678277,0.176438601,541329,9085,440218,35401
2014,6331,0.014602943,0.157993033,515581,7529,408309,25001
2015,6331,0.004419018,0.045700491,496943,2196,406733,21208
2016,6331,-0.001703916,-0.0181717,498264,-849,421406,22357
2017,6331,-0.012209488,-0.142776683,498301,-6084,432593,21136
2018,6331,-1.22E-05,-0.000150101,491984,-6,434675,22564
2019,6331,0.006376366,0.088836999,525064,3348,457637,26770
2020,6331,-0.010135026,-0.16341792,586481,-5944,519282,31987
2010,3823,0.074348866,0.175329872,3818.915,283.932,2043.711,168.853
